Title,Link,Date,Category
Withdrawing The United States From The World Health Organization,https://www.whitehouse.gov/presidential-actions/2025/01/withdrawing-the-united-states-from-the-worldhealth-organization/,2025-01-20T20:27:04-05:00,Presidential Actions
Application Of Protecting Americans From Foreign Adversary Controlled Applications Act To TikTok,https://www.whitehouse.gov/presidential-actions/2025/01/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok/,2025-01-20T20:10:27-05:00,Presidential Actions
"Granting Pardons And Commutation Of Sentences For Certain Offenses Relating To The Events At Or Near The United States Capitol On January 6, 2021",https://www.whitehouse.gov/presidential-actions/2025/01/granting-pardons-and-commutation-of-sentences-for-certain-offenses-relating-to-the-events-at-or-near-the-united-states-capitol-on-january-6-2021/,2025-01-20T20:03:42-05:00,Presidential Actions
Putting America First In International Environmental Agreements,https://www.whitehouse.gov/presidential-actions/2025/01/putting-america-first-in-international-environmental-agreements/,2025-01-20T18:55:01-05:00,Presidential Actions
Delivering Emergency Price Relief for American Families and Defeating the Cost-of-Living Crisis,https://www.whitehouse.gov/presidential-actions/2025/01/delivering-emergency-price-relief-for-american-families-and-defeating-the-cost-of-living-crisis/,2025-01-20T18:54:45-05:00,Presidential Actions
Hiring Freeze,https://www.whitehouse.gov/presidential-actions/2025/01/hiring-freeze/,2025-01-20T18:54:32-05:00,Presidential Actions
Regulatory Freeze Pending Review,https://www.whitehouse.gov/presidential-actions/2025/01/regulatory-freeze-pending-review/,2025-01-20T18:54:21-05:00,Presidential Actions
Return to In-Person Work,https://www.whitehouse.gov/presidential-actions/2025/01/return-to-in-person-work/,2025-01-20T18:54:11-05:00,Presidential Actions
Ending The Weaponization Of The Federal Government,https://www.whitehouse.gov/presidential-actions/2025/01/ending-the-weaponization-of-the-federal-government/,2025-01-20T18:53:59-05:00,Presidential Actions
Restoring Freedom Of Speech And Ending Federal Censorship,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-freedom-of-speech-and-ending-federal-censorship/,2025-01-20T18:53:42-05:00,Presidential Actions
Initial Rescissions Of Harmful Executive Orders And Actions,https://www.whitehouse.gov/presidential-actions/2025/01/initial-rescissions-of-harmful-executive-orders-and-actions/,2025-01-20T18:53:21-05:00,Presidential Actions
Flying The Flag Of The United States At Full-Staff On Inauguration Day,https://www.whitehouse.gov/presidential-actions/2025/01/flying-the-flag-of-the-united-states-at-full-staff-on-inauguration-day/,2025-01-20T14:55:00-05:00,Presidential Actions
President Trump Designates Chairmen and Acting Chairmen,https://www.whitehouse.gov/presidential-actions/2025/01/designation-of-chairmen-and-acting-chairmen/,2025-01-20T14:45:00-05:00,Presidential Actions
President Trump Announces Acting Cabinet and Cabinet-Level Positions,https://www.whitehouse.gov/presidential-actions/2025/01/designation-of-acting-leaders/,2025-01-20T14:40:00-05:00,Presidential Actions
President Trump Announces Sub-Cabinet Appointments,https://www.whitehouse.gov/presidential-actions/2025/01/sub-cabinet-appointments/,2025-01-20T14:35:00-05:00,Presidential Actions
President Trump Announces Cabinet and Cabinet Level Appointments,https://www.whitehouse.gov/presidential-actions/2025/01/cabinet-and-cabinet-level-appointments/,2025-01-20T14:30:00-05:00,Presidential Actions
